Date,IBM,AAPL
2018/11/23,24.942,29.908
2018/11/21,24.557,30.135
2018/11/20,24.955,30.627
2018/11/19,24.525,29.713
2018/11/16,23.957,28.853
2018/11/15,24.194,28.892
2018/11/14,24.3,28.949
2018/11/13,23.879,28.048
2018/11/12,23.954,27.926
2018/11/9,23.357,27.427
2018/11/8,23.543,26.641
2018/11/7,23.866,26.67
2018/11/6,23.659,27.477
2018/11/5,23.421,27.778
2018/11/2,23.052,28.02
2018/11/1,22.928,27.636
2018/10/31,23.701,27.689
2018/10/30,23.37,27.928
2018/10/29,23.545,28.666
2018/10/26,22.523,28.017
2018/10/25,22.019,27.348
2018/10/24,22.546,27.776
2018/10/23,21.575,26.597
2018/10/22,21.414,26.396
2018/10/19,21.269,26.47
2018/10/18,21.926,26.529
2018/10/17,21.352,25.793
2018/10/16,22.413,25.66
2018/10/15,21.206,26.382
2018/10/12,21.358,26.479
2018/10/11,21.671,27.313
2018/10/10,21.179,27.131
2018/10/9,20.347,25.947
2018/10/8,20.321,26.008
2018/10/5,20.087,25.749
2018/10/4,19.868,25.442
2018/10/3,19.616,25.035
2018/10/2,19.559,24.778
2018/10/1,19.531,24.496
2018/9/28,19.524,24.664
2018/9/27,19.556,24.594
2018/9/26,19.561,24.543
2018/9/25,19.196,24.627
2018/9/24,19.119,24.508
2018/9/21,19.06,24.78
2018/9/20,19.231,24.981
2018/9/19,19.244,25.395
2018/9/18,19.308,25.389
2018/9/17,19.313,25.049
2018/9/14,19.188,24.103
2018/9/13,19.171,24.265
2018/9/12,19.238,24.348
2018/9/11,19.338,24.58
2018/9/10,19.38,24.41
2018/9/7,19.313,24.452
2018/9/6,19.239,23.968
2018/9/5,19.26,24.116
2018/9/4,19.117,24.083
2018/8/31,18.916,23.616
2018/8/30,18.946,23.361
2018/8/29,18.749,23.025
2018/8/28,18.827,22.928
2018/8/27,18.682,22.655
2018/8/24,18.738,22.772
2018/8/23,18.867,22.746
2018/8/22,18.831,22.458
2018/8/21,18.858,22.672
2018/8/20,18.875,22.893
2018/8/17,18.979,22.931
2018/8/16,19.044,22.583
2018/8/15,19.322,22.351
2018/8/14,18.972,22.021
2018/8/13,19.391,22.274
2018/8/10,19.193,22.007
2018/8/9,19.091,22.013
2018/8/8,19.042,21.524
2018/8/7,18.988,21.521
2018/8/6,18.932,21.424
2018/8/3,19.144,21.669
2018/8/2,18.689,21.709
2018/8/1,18.868,21.773
2018/7/31,18.999,22.868
2018/7/30,19.343,23.096
2018/7/27,19.233,22.695
2018/7/26,19.152,22.084
2018/7/25,18.891,21.665
2018/7/24,19.106,21.993
2018/7/23,19.155,22.136
2018/7/20,19.18,22.477
2018/7/19,19.202,22.632
2018/7/18,19.172,22.364
2018/7/17,19.999,22.278
2018/7/16,19.332,22.323
2018/7/13,19.229,22.311
2018/7/12,19.233,22.389
2018/7/11,19.35,22.485
2018/7/10,19.208,22.163
2018/7/9,19.158,22.268
2018/7/6,19.288,22.713
2018/7/5,19.58,23.183
2018/7/3,19.815,23.547
2018/7/2,19.762,23.132
2018/6/29,19.708,23.232
2018/6/28,19.93,23.428
2018/6/27,19.95,23.69
2018/6/26,19.566,23.237
2018/6/25,19.662,23.476
2018/6/22,18.945,22.836
2018/6/21,19.031,22.953
2018/6/20,18.796,22.452
2018/6/19,18.853,22.568
2018/6/18,18.65,22.227
2018/6/15,18.641,22.138
2018/6/14,18.738,21.821
2018/6/13,18.739,21.829
2018/6/12,18.728,21.678
2018/6/11,18.83,21.762
2018/6/8,18.717,21.693
2018/6/7,18.924,21.658
2018/6/6,18.832,21.679
2018/6/5,18.752,21.663
2018/6/4,18.811,21.769
2018/6/1,18.88,21.729
2018/5/31,19.245,22.163
2018/5/30,18.903,22.034
2018/5/29,19.338,22.067
2018/5/25,18.897,21.722
2018/5/24,18.889,21.843
2018/5/23,18.933,21.802
2018/5/22,19.141,22.02
2018/5/21,19.195,22.071
2018/5/18,19.304,22.245
2018/5/17,19.506,22.355
2018/5/16,19.578,22.309
2018/5/15,19.789,22.37
2018/5/14,19.584,22.237
2018/5/11,19.839,22.303
2018/5/10,20.023,22.421
2018/5/9,20.177,22.386
2018/5/8,20.176,22.558
2018/5/7,20.04,21.885
2018/5/4,19.978,21.952
2018/5/3,20.3,22.759
2018/5/2,20.306,22.414
2018/5/1,20.107,24.351
2018/4/30,20.111,24.012
2018/4/27,20.914,24.734
2018/4/26,20.924,24.883
2018/4/25,21.58,25.333
2018/4/24,21.692,25.936
2018/4/23,21.867,25.185
2018/4/20,22.747,25.204
2018/4/19,22.169,24.305
2018/4/18,21.816,23.439
2018/4/17,21.615,23.661
2018/4/16,21.487,23.8
2018/4/13,21.955,23.913
2018/4/12,21.914,24.229
2018/4/11,22.317,24.919
2018/4/10,22.453,24.192
2018/4/9,22.615,24.794
2018/4/6,23.01,25.996
2018/4/5,22.465,24.447
2018/4/4,22.201,24.781
2018/4/3,22.824,25.939
2018/4/2,23.319,26.544
2018/3/29,22.262,26.054
2018/3/28,23.225,26.612
2018/3/27,22.983,26.402
2018/3/26,22.289,25.462
2018/3/23,23.383,25.902
2018/3/22,22.516,25.409
2018/3/21,21.734,25.202
2018/3/20,21.959,24.557
2018/3/19,22.139,24.765
2018/3/16,21.566,23.942
2018/3/15,21.796,24.174
2018/3/14,22.06,24.196
2018/3/13,21.929,24.259
2018/3/12,21.568,23.31
2018/3/9,21.625,23.663
2018/3/8,22.079,24.273
2018/3/7,22.08,24.737
2018/3/6,21.967,24.538
2018/3/5,21.925,24.763
2018/3/2,21.98,25.384
2018/3/1,22.284,25.415
2018/2/28,21.753,25.028
2018/2/27,21.465,24.628
2018/2/26,20.917,23.517
2018/2/23,21.089,23.599
2018/2/22,21.567,24.316
2018/2/21,21.883,24.64
2018/2/20,21.914,24.515
2018/2/16,21.975,24.616
2018/2/15,21.854,24.752
2018/2/14,21.905,24.604
2018/2/13,22.747,25.174
2018/2/12,22.908,24.945
2018/2/9,24.609,27.122
2018/2/8,24.352,27.422
2018/2/7,22.606,26.218
2018/2/6,23.506,26.434
2018/2/5,23.739,27.189
2018/2/2,21.582,25.646
2018/2/1,20.832,25.277
2018/1/31,20.709,25.776
2018/1/30,20.989,25.983
2018/1/29,20.875,26.234
2018/1/26,20.612,25.446
2018/1/25,20.738,25.334
2018/1/24,20.704,24.836
2018/1/23,20.317,24.368
2018/1/22,20.694,24.068
2018/1/19,20.451,24.215
2018/1/18,21.15,24.311
2018/1/17,21.614,24.126
2018/1/16,21.155,24.146
2018/1/12,20.8,23.915
2018/1/11,20.209,23.867
2018/1/10,20.087,23.977
2018/1/9,20.19,24.196
2018/1/8,19.925,24.091
2018/1/5,19.626,24.069
2018/1/4,19.467,24.265
2018/1/3,19.472,24.49
2018/1/2,18.986,24.264
2017/12/29,18.678,24.333
2017/12/28,18.542,24.077
2017/12/27,18.672,24.309
2017/12/26,18.887,24.281
2017/12/22,18.828,23.924
2017/12/21,18.706,24.104
2017/12/20,18.73,24.127
2017/12/19,18.735,24.151
2017/12/18,18.587,23.927
2017/12/15,18.586,23.993
2017/12/14,18.65,24.078
2017/12/13,18.667,24.13
2017/12/12,18.652,24.308
2017/12/11,18.429,24.302
2017/12/8,18.516,24.507
2017/12/7,18.509,24.368
2017/12/6,18.694,24.592
2017/12/5,18.94,24.835
2017/12/4,19.265,25.485
2017/12/1,19.14,24.99
2017/11/30,19.174,25.001
2017/11/29,19.338,25.379
2017/11/28,18.871,24.702
2017/11/27,18.914,24.482
2017/11/24,19.162,24.549
2017/11/22,19.165,24.551
2017/11/21,19.158,24.814
2017/11/20,19.303,24.892
2017/11/17,19.368,25.417
2017/11/16,19.226,25.474
2017/11/15,19.597,25.5
2017/11/14,19.283,25.264
2017/11/13,19.238,25.098
2017/11/10,19.27,25.215
2017/11/9,19.266,24.971
2017/11/8,18.946,24.955
2017/11/7,18.903,25.014
2017/11/6,18.821,25.024
2017/11/3,18.842,25.141
2017/11/2,18.728,25.295
2017/11/1,18.658,25.347
2017/10/31,18.726,25.504
2017/10/30,18.481,24.998
2017/10/27,18.47,25.047
2017/10/26,18.341,25.248
2017/10/25,18.333,25.461
2017/10/24,18.088,25.276
2017/10/23,17.879,25.512
2017/10/20,17.584,25.51
2017/10/19,17.717,25.469
2017/10/18,17.683,24.732
2017/10/17,18.033,24.811
2017/10/16,17.92,24.685
2017/10/13,17.913,24.585
2017/10/12,18.058,24.797
2017/10/11,18.048,24.949
2017/10/10,17.892,24.985
2017/10/9,17.933,24.759
2017/10/6,18.02,25.208
2017/10/5,18.002,25.297
